CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|CEI-NR|-|1|1|0|Overtime for full time staff|(Estimate $1.76 or 60THB x 20 hrs per month x 11 months x 3 persons)||0.00|0.00|39600.00|39600.00|Annual||||||||||
1|CEI-NR|-|1|1|1|Overtime for full time staff|(Estimate $1.76 or 60THB x 20 hrs per month x 7 months x 3 persons)|||||25200.00|Annual|||||||20170911|cei2|20170911|cei2
1|CEI-NR|-|1|2|0|Compensation for government staff|(Estimate $2.05 or 70THB x 50 hrs. per month x 11 months x 2 persons)||0.00|0.00|77000.00|77000.00|Time|2|100.00|11.00|3500.00||||||
1|CEI-NR|-|1|2|1|Compensation for government staff|(Estimate $2.05 or 70THB x 50 hrs. per month x 11 months x 1 persons)|||||2800.00|Time|1|100.00|2.00|1400.00|||20170911|cei2|20170911|cei2
1|CEI-NR|-|3|1|0|3-day Data Management and Analysis workshop|||0.00|0.00|-0.00|0.00|Time|0|40.00|3.00|2000.00|5000.00|0.00||||
1|CEI-NR|-|4|1|0|FTP server|||0.00|0.00|487500.00|487500.00|set|1|487500.00||||||||
1|CEI-NR|-|5|1|0|Antivirus program|||0.00|0.00|87500.00|87500.00|set|1|87500.00||||||||
1|CEI-NR|-|5|1|1|Antivirus program||||||87000.00|set|1|87000.00|||||20170911|cei2|20170911|cei2
1|CEI-NR|-|5|2|1|Software Licenses (SAS Program)||||||738300.00|set|1|738300.00|||||20170911|cei2|20170911|cei2
1|CEI-NR|-|8|1|0|3-day Data Management and Analysis workshop|||0.00|0.00|69000.00|69000.00|Time|2|15.00|3.00|600.00|500.00|0.00||||
1|CEI-NR|-|8|1|1|3-day Data Management and Analysis workshop||||||19200.00|Time|1|9.00|3.00|600.00|0.00|3000.00|20170911|cei2|20170911|cei2
1|CEI-NR|-|8|2|0|Renting cloud server|||0.00|0.00|581400.00|581400.00|month|9|||||64600.00||||
1|CEI-NR|-|8|2|1|Renting cloud server||||||0.00|month|0|||||64600.00|20170911|cei2|20170911|cei2
1|CEI-NR|-|8|3|0|Technical Meeting|||0.00|0.00|18000.00|18000.00|Time|3|10.00|1.00|600.00|0.00|0.00||||
1|CEI-NR|-|8|3|1|Technical Meeting||||||0.00|Time|0|10.00|1.00|600.00|0.00|0.00|20170911|cei2|20170911|cei2
1|CEI-NR|-|8|4|1|Gain from exchange rate on 12 ก.ค. 60 (Cheque # 10181876)||||||38063.67|Annual|||||||20170911|cei2|20170911|cei2
2|CEI-NR|-|1|1|0|Compensation for ICT official|(Dr. Polawat Witoolkollachit), See cost breakdown in budget justification||33600.00|0.00|33600.00|67200.00|Annual|||||||20170419||20171005|
2|CEI-NR|-|1|2|0|Compensation for ICT official (Data Manager)|See cost breakdown in budget justification||33600.00|0.00|33600.00|67200.00|Annual|||||||20170419||20171005|
2|CEI-NR|-|1|3|0|Compensation for Principle Investigator|(Dr.Yongjua Laosiritaworn)||0.00|0.00|33600.00|33600.00|Annual|||||||20170419||20171031|
2|CEI-NR|-|1|4|0|Compensation for Project Assistant|(Mr.Sarinya Pongphan)||33600.00|0.00|33600.00|67200.00|Annual|||||||20170419||20171005|
2|CEI-NR|-|1|5|0|Overtime for fulltime staff|($1.76 x 20hrs x 10 months x 3 persons)||14400.00|0.00|21600.00|36000.00|Annual|||||||20170601||20171005|
2|CEI-NR|-|1|6|0|Compensation for BOE (Bureau of Epidemiology) Financial staff|($2.04 x 33 hrs. x 12 months)(Suwincha Tilogawichai)||33600.00|0.00|-0.00|33600.00|Annual|||||||20171005||20171012|
2|CEI-NR|-|1|7|0|Compensation for BOE (Bureau of Epidemiology) Supply Analyst staff|($2.04 x 33 hrs. x 12 months)(Kulchaya Muanjam)||33600.00|0.00|-0.00|33600.00|Annual|||||||20171010||20171027|
2|CEI-NR|-|3|1|0|Study visit (International Travel)|(such as US CDC,etc.)||0.00|0.00|-0.00|0.00|Time|0|5.00|7.00|0.00|0.00|0.00|20170331||20170419|
2|CEI-NR|-|4|1|0|Workstation computer|||0.00|0.00|160000.00|160000.00|set|2|80000.00|||||20170330||20170330|
2|CEI-NR|-|5|1|0|Software for Data Management|(SAS,SQL,STATA)||200000.00|0.00|738300.00|938300.00|Year|1|938300.00|||||20170330||20171020|
2|CEI-NR|-|5|2|0|Other Softwares|(Antivirus,Vmwarel,ETC)||323660.00|0.00|90000.00|413660.00|Year|1|413660.00|||||20170330||20171031|
2|CEI-NR|-|5|3|0|IT supplies|(Harddisks for storate, Power supply for server, Plug for server, Toner, etc.)||0.00|0.00|74700.00|74700.00|Month|12|6225.00|||||20170419||20170901|
2|CEI-NR|-|8|1|0|Training (3-day workshop) on data analytic methods for data utilization|(Participants)||45100.00|0.00|29900.00|75000.00|Time|2|15.00|3.00|600.00|500.00|3000.00|20170330||20171031|
2|CEI-NR|-|8|2|0|Training (3-day workshop) on data analytic methods for data utilization|(Resource person)||15000.00|0.00|-0.00|15000.00|Time|2|1.00|3.00|2500.00|0.00|0.00|20171031||20171031|
2|CEI-NR|-|8|3|0|BOE/ITC technical staff meetings|||0.00|0.00|36000.00|36000.00|Time|6|10.00|1.00|600.00|0.00|0.00|20170601||20171031|
2|CEI-NR|-|8|4|0|CEI Working Group Meeting|||21600.00|0.00|36000.00|57600.00|Time|12|8.00|1.00|600.00|0.00|0.00|20170901||20171031|
2|CEI-NR|-|8|5|0|Exchange rate management|(To support depreciation from exchange rate fluctuation during budget year)||11403.67|0.00|39100.00|50503.67|Annual|||||||20170920||20171031|
