CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|CEI-NR|-|1|1|3|Overtime for full time staff (Estimate $1.76 or 60THB x 20 hrs per month x 11 months x 3 persons)|20170228|3600.00|10170964||||||ค่าปฎิบัติงานนอกเวลาราชการเดือนกุมภาพันธ์ 2560|20170428|cei2|20170428|cei2
1|CEI-NR|-|1|1|4|Overtime for full time staff (Estimate $1.76 or 60THB x 20 hrs per month x 11 months x 3 persons)|20170331|3600.00|10170965||||||ค่าปฎิบัติงานนอกเวลาราชการเดือนมีนาคม 2560|20170428|cei2|20170428|cei2
1|CEI-NR|-|1|1|7|Overtime for full time staff (Estimate $1.76 or 60THB x 20 hrs per month x 11 months x 3 persons)|20170430|3600.00|10170966||||||ค่าปฎิบัติงานนอกเวลาราชการเดือนเมษายน 2560|20170613|cei2|20170613|cei2
1|CEI-NR|-|1|1|9|Overtime for full time staff (Estimate $1.76 or 60THB x 20 hrs per month x 11 months x 3 persons)|20170531|3600.00|10170969||||||ค่าปฎิบัติงานนอกเวลาราชการเดือนพฤษภาคม 2560|20170613|cei2|20170613|cei2
1|CEI-NR|-|1|1|13|Overtime for full time staff (Estimate $1.76 or 60THB x 20 hrs per month x 11 months x 3 persons)|20170630|3600.00|10170972||||||ค่าปฎิบัติงานนอกเวลาราชการเดือนมิถุนายน 2560|20170714|cei2|20170802|cei2
1|CEI-NR|-|1|1|14|Overtime for full time staff (Estimate $1.76 or 60THB x 20 hrs per month x 11 months x 3 persons)|20170731|3600.00|10170973||||||ค่าปฎิบัติงานนอกเวลาราชการเดือนกรกฎาคม 2560|20170802|cei2|20170802|cei2
1|CEI-NR|-|1|2|1|Compensation for government staff (Estimate $2.05 or 70THB x 50 hrs. per month x 11 months x 2 persons)|20161130|1400.00|10170961||||||ค่าตอบแทนคุณหมอดารินทร์ เดือนตุลาคม 2559|20170117|cei2|20170117|cei2
1|CEI-NR|-|1|2|3|Compensation for government staff (Estimate $2.05 or 70THB x 50 hrs. per month x 11 months x 2 persons)|20161223|1400.00|10170963||||||ค่าตอบแทนคุณหมอดารินทร์ เดือนพฤศจิกายน 2559|20170117|cei2|20170117|cei2
1|CEI-NR|-|4|1|1|FTP server |20170705|482943.93|10170970|20170731|4556.07|10170971|||จ่าย บ.SCSI จ่ายกรมสรรพากร|20170802|cei2|20170802|cei2
1|CEI-NR|-|5|1|1|Antivirus program |20170519|86186.92|10170967|20170531|813.08|10170968|||ค่าโปรแกรมป้องกันไวรัส  ค่าภาษีสรรพากร|20170613|cei2|20170613|cei2
