CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-Farmer|-|1|1|1|Project Coordinator Ms. Apiladee Soonngam|20161026|24500.00|10167623||||||Saraly Sep 2016|20170112|DGHP-FARMER|20170112|DGHP-FARMER
1|DGHP-Farmer|-|1|1|2|Project Coordinator Ms. Apiladee Soonngam|20161026|24500.00|10167628||||||Salary Oct 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|1|3|Project Coordinator Ms. Apiladee Soonngam|20161125|24500.00|10167636||||||Salary Nov 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|1|4|Project Coordinator Ms. Apiladee Soonngam|20161226|24500.00|10172984||||||Salary Dec 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|1|5|Project Coordinator Ms. Apiladee Soonngam|20170125|24500.00|10172993||||||Salary Jan 2017|20170209|DGHP-farmer|20170209|DGHP-farmer
1|DGHP-Farmer|-|1|1|6|Project Coordinator Ms. Apiladee Soonngam|20170227|24500.00|10173000||||||Salary Feb 2017|20170303|dghp-farmer|20170303|dghp-farmer
1|DGHP-Farmer|-|1|1|7|Project Coordinator Ms. Apiladee Soonngam|20170327|24500.00|10173011||||||Salary Mar 2017|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|1|1|8|Project Coordinator Ms. Apiladee Soonngam|20170425|24500.00|10173019||||||Salary April 2017|20170501|dghp-farmer|20170501|dghp-farmer
1|DGHP-Farmer|-|1|1|9|Project Coordinator Ms. Apiladee Soonngam|20170525|24500.00|10173029||||||Salary May 2017|20170526|dghp-farmer|20170526|dghp-farmer
1|DGHP-Farmer|-|1|1|10|Project Coordinator Ms. Apiladee Soonngam|20170626|24500.00|10173037||||||Salary June 2017|20170707|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|1|1|11|Project Coordinator Ms. Apiladee Soonngam|20170727|24500.00|10173046||||||Salary July 2017|20170802|dghp-farmer|20170802|dghp-farmer
1|DGHP-Farmer|-|1|1|14|Project Coordinator Ms. Apiladee Soonngam|20170825|24500.00|10173053||||||Salary Aug 2017|20170817|dghp-farmer|20170822|dghp-farmer
1|DGHP-Farmer|-|1|2|2|Programmer (Part-time) Mr.Jiruntaanin Paasarlkulanurn|20161026|4900.00|10167625||||||Saraly Sep 2016|20170112|DGHP-FARMER|20170112|DGHP-FARMER
1|DGHP-Farmer|-|1|2|3|Programmer (Part-time) Mr.Jiruntaanin Paasarlkulanurn|20161026|4900.00|10167631||||||Salary Oct 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|2|4|Programmer (Part-time) Mr.Jiruntaanin Paasarlkulanurn|20161125|4900.00|10167639||||||Salary Nov 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|2|6|Programmer (Part-time) Mr.Jiruntaanin Paasarlkulanurn|20161226|4900.00|10172987||||||Salary Dec 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|2|7|Programmer (Part-time) Mr.Jiruntaanin Paasarlkulanurn|20170125|4900.00|10172996||||||Salary Jan 2017|20170209|DGHP-farmer|20170209|DGHP-farmer
1|DGHP-Farmer|-|1|2|8|Programmer (Part-time) Mr.Jiruntaanin Paasarlkulanurn|20170227|4900.00|10173003||||||Salary Feb 2017|20170303|dghp-farmer|20170303|dghp-farmer
1|DGHP-Farmer|-|1|2|9|Programmer (Part-time) Ms.Prapasree Thiengtham|20170327|4900.00|10173014||||||Salary Mar 2017|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|1|2|10|Programmer (Part-time) Ms.Prapasree Thiengtham|20170425|4900.00|10173022||||||Salary April 2017|20170501|dghp-farmer|20170501|dghp-farmer
1|DGHP-Farmer|-|1|2|11|Programmer (Part-time) Ms.Prapasree Thiengtham|20170525|4900.00|10173032||||||Salary May 2017|20170526|dghp-farmer|20170526|dghp-farmer
1|DGHP-Farmer|-|1|2|12|Programmer (Part-time) Ms.Prapasree Thiengtham|20170626|4900.00|10173040||||||Salary June 2017|20170707|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|1|2|14|Programmer (Part-time) Ms.Prapasree Thiengtham|20170727|4900.00|10173049||||||Salary July 2017|20170802|dghp-farmer|20170802|dghp-farmer
1|DGHP-Farmer|-|1|2|15|Programmer (Part-time) Ms.Prapasree Thiengtham|20170825|4900.00|10173056||||||Salary Aug 2017|20170817|dghp-farmer|20170817|dghp-farmer
1|DGHP-Farmer|-|1|3|1|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20161026|11500.00|10167630||||||Salary Oct 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|3|2|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20161125|11500.00|10167638||||||Salary Nov 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|3|3|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20161226|11500.00|10172986||||||Salary Dec 2016|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|3|4|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170125|11500.00|10172995||||||Salary Jan 2017|20170209|DGHP-farmer|20170209|DGHP-farmer
1|DGHP-Farmer|-|1|3|5|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170227|11500.00|10173002||||||Salary Feb 2017|20170303|dghp-farmer|20170303|dghp-farmer
1|DGHP-Farmer|-|1|3|6|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170327|11500.00|10173013||||||Salary Mar 2017|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|1|3|7|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170425|11500.00|10173021||||||Salary April 2017|20170501|dghp-farmer|20170501|dghp-farmer
1|DGHP-Farmer|-|1|3|8|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170525|11500.00|10173031||||||Salary May 2017|20170526|dghp-farmer|20170526|dghp-farmer
1|DGHP-Farmer|-|1|3|9|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170626|11500.00|10173039||||||Salary June 2017|20170707|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|1|3|10|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170727|11500.00|10173048||||||Salary July 2017|20170802|dghp-farmer|20170802|dghp-farmer
1|DGHP-Farmer|-|1|3|11|Data analysis Officer (Part-time) Mrs. Punnarai Smithsuwan|20170825|11500.00|10173055||||||Salary Aug 2017|20170817|dghp-farmer|20170817|dghp-farmer
1|DGHP-Farmer|-|1|4|11|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161026|3850.00|10167621||||||Salary Sep 2016 (Soawapak Hinjoy)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|12|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161026|1750.00|10167622||||||Salary Sep 2016 (Articha Wongkhumma)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|14|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161026|3850.00|10167626||||||Salary Oct 2016 (Soawapak Hinjoy)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|20|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161026|1750.00|10167627||||||Salary Oct 2016 (Articha Wongkhumma)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|21|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161125|1750.00|10167635||||||Salary Nov 2016 (Articha Wongkhumma)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|22|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161125|3850.00|10167634||||||Salary Nov 2016 (Soawapak Hinjoy)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|24|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161226|3850.00|10172982||||||Salary Dec 2016 (Soawapak Hinjoy)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|26|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20161226|1750.00|10172983||||||Salary Dec 2016 (Articha Wongkhumma)|20170120|dghp-farmer|20170120|dghp-farmer
1|DGHP-Farmer|-|1|4|27|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170125|3850.00|10172991||||||Salary Jan 2017 (Soawapak Hinjoy)|20170209|DGHP-farmer|20170209|DGHP-farmer
1|DGHP-Farmer|-|1|4|28|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170125|1750.00|10172992||||||Salary Jan 2017 (Articha Wongkhumma)|20170209|DGHP-farmer|20170209|DGHP-farmer
1|DGHP-Farmer|-|1|4|30|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170227|3850.00|10172998||||||Salary Feb 2017 (Soawapak Hinjoy)|20170303|dghp-farmer|20170303|dghp-farmer
1|DGHP-Farmer|-|1|4|32|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170227|1750.00|10172999||||||Salary Feb 2017 (Articha Wongkhumma)|20170303|dghp-farmer|20170303|dghp-farmer
1|DGHP-Farmer|-|1|4|34|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170327|3850.00|10173009||||||Salary Mar 2017 (Soawapak Hinjoy)|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|1|4|36|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170327|1750.00|10173010||||||Salary Mar 2017 (Articha Wongkhumma)|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|1|4|38|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170425|3850.00|10173017||||||Salary April 2017 (Soawapak Hinjoy)|20170501|dghp-farmer|20170501|dghp-farmer
1|DGHP-Farmer|-|1|4|40|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170425|1750.00|10173018||||||Salary April 2017 (Articha Wongkhumma)|20170501|dghp-farmer|20170501|dghp-farmer
1|DGHP-Farmer|-|1|4|42|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170525|3850.00|10173027||||||Salary May 2017 (Soawapak Hinjoy)|20170526|dghp-farmer|20170526|dghp-farmer
1|DGHP-Farmer|-|1|4|44|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170525|1750.00|10173028||||||Salary May 2017 (Articha Wongkhumma)|20170526|dghp-farmer|20170526|dghp-farmer
1|DGHP-Farmer|-|1|4|46|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170626|3850.00|10173035||||||Salary June 2017 (Soawapak Hinjoy)|20170707|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|1|4|48|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170626|1750.00|10173036||||||Salary June 2017 (Articha Wongkhumma)|20170707|dghp-farmer|20170707|dghp-farmer
1|DGHP-Farmer|-|1|4|50|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170727|3850.00|10173044||||||Salary July 2017 (Soawapak Hinjoy)|20170802|dghp-farmer|20170802|dghp-farmer
1|DGHP-Farmer|-|1|4|52|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170727|1750.00|10173045||||||Salary July 2017 (Articha Wongkhumma)|20170802|dghp-farmer|20170802|dghp-farmer
1|DGHP-Farmer|-|1|4|54|Compensation for government officers at MoPH ($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons|20170825|3850.00|10173051||||||Salary Aug 2017 (Soawapak Hinjoy)|20170817|dghp-farmer|20170817|dghp-farmer
