CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-IPC|-|1|1|2|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20161027|34250.00|10171861|20161027|750.00|10171863|||Sep 16|20170119|dghp-ipc|20170119|dghp-ipc
1|DGHP-IPC|-|1|1|4|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20161027|34250.00|10171862|20161027|750.00|10171864|||Oct 16|20170119|dghp-ipc|20170119|dghp-ipc
1|DGHP-IPC|-|1|1|6|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20161128|34250.00|10171867|20161128|750.00|10171868|||Nov 16|20170119|dghp-ipc|20170119|dghp-ipc
1|DGHP-IPC|-|1|1|7|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20161228|34250.00|10171871|20161228|750.00|10171872|||Dec16|20170127|dghp-ipc|20170127|dghp-ipc
1|DGHP-IPC|-|1|1|8|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170127|34250.00|10171875|20170127|750.00|10171876|||Jan 17|20170127|dghp-ipc|20170127|dghp-ipc
1|DGHP-IPC|-|1|1|9|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170227|34250.00|10171880|20170227|750.00|10193721|||Feb 17|20170301|dghp-ipc|20170301|dghp-ipc
1|DGHP-IPC|-|1|1|10|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170328|34250.00|10193728|20170328|750.00|10193729|||Mar 17|20170330|dghp-ipc|20170330|dghp-ipc
1|DGHP-IPC|-|1|1|11|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170427|34250.00|10193735|20170427|750.00|10193736|||Apr 17|20170501|dghp-ipc|20170501|dghp-ipc
1|DGHP-IPC|-|1|1|12|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170529|34250.00|10193740|20170529|750.00|10210061|||May 17|20170612|dghp-ipc|20170612|dghp-ipc
1|DGHP-IPC|-|1|1|13|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170627|34250.00|10210066|20170627|750.00|10210067|||Jun 17|20170629|dghp-ipc|20170629|dghp-ipc
1|DGHP-IPC|-|1|1|15|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170727|34250.00|10210072|20170727|750.00|10210073|||Jul 17|20170803|dghp-ipc|20170803|dghp-ipc
1|DGHP-IPC|-|1|1|16|Project coordinator (Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)|20170829|34250.00|10210079|20170829|750.00|10210080|||Aug 17|20170904|dghp-ipc|20170904|dghp-ipc
1|DGHP-IPC|-|1|2|2|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20161027|34250.00|10171861|20161027|750.00|10171863|||Sep 16|20170119|dghp-ipc|20170119|dghp-ipc
1|DGHP-IPC|-|1|2|4|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20161027|34250.00|10171862|20161027|750.00|10171864|||Oct 16|20170119|dghp-ipc|20170119|dghp-ipc
1|DGHP-IPC|-|1|2|5|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20161128|34250.00|10171867|20161128|750.00|10171868|||Nov 16|20170119|dghp-ipc|20170119|dghp-ipc
1|DGHP-IPC|-|1|2|6|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20161228|34250.00|10171871|20161228|750.00|10171872|||Dec16|20170127|dghp-ipc|20170127|dghp-ipc
1|DGHP-IPC|-|1|2|7|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170127|34250.00|10171875|20170127|750.00|10171876|||Jan 17|20170127|dghp-ipc|20170127|dghp-ipc
1|DGHP-IPC|-|1|2|8|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170227|34250.00|10171880|20170227|750.00|10193721|||Feb 17|20170301|dghp-ipc|20170301|dghp-ipc
1|DGHP-IPC|-|1|2|9|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170328|34250.00|10193728|20170328|750.00|10193729|||Mar 17|20170330|dghp-ipc|20170330|dghp-ipc
1|DGHP-IPC|-|1|2|10|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170427|34250.00|10193735|20170427|750.00|10193736|||Apr 17|20170501|dghp-ipc|20170501|dghp-ipc
1|DGHP-IPC|-|1|2|11|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170529|34250.00|10193740|20170529|750.00|10210061|||May 17|20170612|dghp-ipc|20170612|dghp-ipc
1|DGHP-IPC|-|1|2|12|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170627|34250.00|10210066|20170627|750.00|10210067|||Jun 17|20170629|dghp-ipc|20170629|dghp-ipc
1|DGHP-IPC|-|1|2|14|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170727|34250.00|10210072|20170727|750.00|10210073|||Jul 17|20170803|dghp-ipc|20170803|dghp-ipc
1|DGHP-IPC|-|1|2|15|Technical coordinator (Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)|20170829|34250.00|10210079|20170829|750.00|10210080|||Aug 17|20170904|dghp-ipc|20170904|dghp-ipc
1|DGHP-IPC|-|1|3|3|Compensation for government officers at MOPH ($2.06 or 70 Baht x 35 hrs/month x 12 months x 3 persons)|20170228|14700.00|10193723||||||แพรจิต จันทร์ฐิติวงศ์ ก.ย. 59-ก.พ. 60|20170301|dghp-ipc|20170301|dghp-ipc
1|DGHP-IPC|-|1|3|4|Compensation for government officers at MOPH ($2.06 or 70 Baht x 35 hrs/month x 12 months x 3 persons)|20170228|14700.00|10193722||||||พรทิพภา ชัยเนตราภรณ์ ก.ย. 59-ก.พ. 60|20170301|dghp-ipc|20170301|dghp-ipc
1|DGHP-IPC|-|1|3|5|Compensation for government officers at MOPH ($2.06 or 70 Baht x 35 hrs/month x 12 months x 3 persons)|20170228|14700.00|10193724||||||นริศรา  แย้มทรัพย์ ก.ย. 59-ก.พ. 60|20170301|dghp-ipc|20170301|dghp-ipc
1|DGHP-IPC|-|1|3|7|Compensation for government officers at MOPH ($2.06 or 70 Baht x 35 hrs/month x 12 months x 3 persons)|20170831|14700.00|10230361||||||แพรจิต จันทร์ฐิติวงศ์ มี.ค.-ส.ค. 60|20170904|dghp-ipc|20170904|dghp-ipc
1|DGHP-IPC|-|1|3|10|Compensation for government officers at MOPH ($2.06 or 70 Baht x 35 hrs/month x 12 months x 3 persons)|20170831|14700.00|10230362||||||พรทิพภา ชัยเนตราภรณ์ มี.ค.-ส.ค. 60|20170904|dghp-ipc|20170904|dghp-ipc
1|DGHP-IPC|-|1|3|13|Compensation for government officers at MOPH ($2.06 or 70 Baht x 35 hrs/month x 12 months x 3 persons)|20170831|14700.00|10230363||||||นริศรา  แย้มทรัพย์ มี.ค.-ส.ค. 60|20170904|dghp-ipc|20170904|dghp-ipc
1|DGHP-IPC|-|1|4|2|OT for Fulltime staff ($1.76 or 60 Baht x 48 hrs/month x 12 months x 2 persons)|20170228|15840.00|10193725||||||ยุทธนา สมานมิตร ก.ย. 59-ก.พ. 60|20170301|dghp-ipc|20170301|dghp-ipc
1|DGHP-IPC|-|1|4|3|OT for Fulltime staff ($1.76 or 60 Baht x 48 hrs/month x 12 months x 2 persons)|20170228|15840.00|10193726||||||เพียงพิมพ์ ตันติลีปิกร ก.ย. 59-ก.พ. 60|20170301|dghp-ipc|20170301|dghp-ipc
1|DGHP-IPC|-|1|4|6|OT for Fulltime staff ($1.76 or 60 Baht x 48 hrs/month x 12 months x 2 persons)|20170831|16080.00|10230364||||||ยุทธนา สมานมิตร มี.ค.-ส.ค. 60|20170904|dghp-ipc|20170904|dghp-ipc
1|DGHP-IPC|-|1|4|8|OT for Fulltime staff ($1.76 or 60 Baht x 48 hrs/month x 12 months x 2 persons)|20170831|16080.00|10230365||||||เพียงพิมพ์ ตันติลีปิกร มี.ค.-ส.ค. 60|20170904|dghp-ipc|20170904|dghp-ipc
1|DGHP-IPC|-|2|1|1|Project coordinator (Yuthana Samanmit) ($441.17 x 5%) x 12 months|20161027|750.00|10171863||||||Sep 16|20170119|dghp-ipc|20170119|dghp-ipc
1|DGHP-IPC|-|2|1|2|Project coordinator (Yuthana Samanmit) ($441.17 x 5%) x 12 months|20161027|750.00|10171864||||||Oct 16|20170119|dghp-ipc|20170119|dghp-ipc
