CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-MOPH-EOC|-|1|1|20|Project Coordinator TBD|20170117|13790.00|10172222|20170117|726.00|10172223|||เงินเดือน ธันวาคม ประกันสังคม ธันวาคม|20170117|DGHP-EOC|20170317|
1|DGHP-MOPH-EOC|-|1|1|23|Project Coordinator TBD|20170130|17250.00|10172224|20170130|750.00|10172225|||เงินเดือน มกราคม ประกันสังคม มกราคม|20170117|DGHP-EOC|20170317|
1|DGHP-MOPH-EOC|-|1|1|25|Project Coordinator TBD|20170228|17250.00|10172226|20170228|750.00|17102227|||เงินเดือน กุมภาพันธ์ ประกันสังคม กุมภาพันธ์|20170313|DGHP-EOC|20170317|
1|DGHP-MOPH-EOC|-|1|1|29|Project Coordinator TBD|20170331|17250.00|10172233|20170331|750.00|10172234|||เงินเดือน มีนาคม ประกันสังคม มีนาคม|20170411|DGHP-EOC|20170411|DGHP-EOC
1|DGHP-MOPH-EOC|-|1|1|34|Project Coordinator TBD|20170504|17250.00|10172238|20170504|750.00|10172239|||เงินเดือน เมษายน ประกันสังคม เมษายน|20170501|DGHP-EOC|20170609|DGHP-EOC
1|DGHP-MOPH-EOC|-|1|1|38|Project Coordinator TBD|20170531|17250.00|10208783|20170531|750.00|10208784|||เงินเดือน พฤษภาคม ประกันสังคม พฤษภาคม|20170609|DGHP-EOC|20170609|DGHP-EOC
1|DGHP-MOPH-EOC|-|1|1|41|Project Coordinator TBD|20170629|17250.00|10208788|20170629|750.00|10208789|||เงินเดือน มิถุนายน ประกันสังคม มิถุนายน|20170714|DGHP-EOC|20170714|DGHP-EOC
1|DGHP-MOPH-EOC|-|1|1|43|Project Coordinator TBD|20170802|17250.00|10208795|20170802|750.00|10208796|||เงินเดือน กรกฎาคม ประกันสังคม กรกฎาคม|20170911|DGHP-EOC|20170911|DGHP-EOC
1|DGHP-MOPH-EOC|-|1|1|45|Project Coordinator TBD|20170828|17250.00|10208798|20170828|750.00|10208799|||เงินเดือน สิงหาคม ประกันสังคม สิงหาคม|20170911|DGHP-EOC|20170911|DGHP-EOC
1|DGHP-MOPH-EOC|-|1|3|1|Overtime for project staff at MOPH ($2.05/70 Baht x 2 hrs x 10 Day x 12 months x 2 persons)|20170303|3630.00|10172230||||||OT เดือนกุมภาพันธ์|20170317|DGHP-EOC|20170317|DGHP-EOC
