CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-OH-WFD|-|1|1|1|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20161225|18000.00|10172202||||||ค่าจ้าง Dr. Chen Lei เดือนธันวาคม 2559|20170109|DGHP-OHWFD|20170109|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|2|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170125|18000.00|10172203||||||ค่าจ้าง Dr. Chen Lei เดือน มกราคม 2560|20170220|DGHP-OHWFD|20170220|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|3|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170225|18000.00|10172204||||||ค่าจ้าง Dr. Chen Lei เดือน กุมภาพันธ์ 2560|20170303|DGHP-OHWFD|20170303|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|5|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170331|8300.00|10172207||||||ค่าจ้าง Dr. Chen Lei เดือน มีนาคม 2560|20170503|DGHP-OHWFD|20170503|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|6|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170425|8300.00|10172208||||||ค่าจ้าง Dr. Chen Lei เดือน เมษายน 2560|20170503|DGHP-OHWFD|20170503|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|8|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170525|8300.00|10172210||||||ค่าจ้าง Dr. Chen Lei เดือน พฤษภาคม 2560|20170619|DGHP-OHWFD|20170619|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|9|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170626|8300.00|10172212||||||ค่าจ้าง Dr. Chen Lei เดือน มิถุนายน 2560|20170718|DGHP-OHWFD|20170718|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|10|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170725|8300.00|10172213||||||ค่าจ้าง Dr. Chen Lei เดือน กรกฎาคม 2560|20170825|DGHP-OHWFD|20170825|DGHP-OHWFD
1|DGHP-OH-WFD|-|1|1|11|Part time Project financial staff/Part time Technical officer Dr. Chen Lei (Part time technical officer) $529.41 x 12 months|20170825|8300.00|10172215||||||ค่าจ้าง Dr. Chen Lei เดือน สิงหาคม 2560|20170830|dghp-ohwfd|20170830|dghp-ohwfd
1|DGHP-OH-WFD|-|3|1|2|Develop and revise in-service one health course curriculum for local and central staffs in line with national guideline and regulation (PI by DLD) To support travel related expenses of MoPH staff and CoAg Staff|20170310|40500.00|10172206|20170518|-40500.00|Cash|||สนับสนุนพัฒนาหลักสูตรระบาดระยะสั้นด้านสุขภาพสัตว์|20170503|DGHP-OHWFD|20170619|DGHP-OHWFD
1|DGHP-OH-WFD|-|3|1|4|Develop and revise in-service one health course curriculum for local and central staffs in line with national guideline and regulation (PI by DLD) To support travel related expenses of MoPH staff and CoAg Staff|20170831|17640.00|10172216||||||Out Break จ.นครราชสีมา|20170830|dghp-ohwfd|20170905|DGHP-OHWFD
1|DGHP-OH-WFD|-|3|3|3|Establishment of Wildlife Non-human primate disease surveillance system in Chong Bon Wildlife breeding center To support travel related expense of MoPH staff|20170524|17450.00|10172211|20170619|-7160.00|Cash|||คชจ.จัดประชุมพัฒนาระบบเฝ้าระวังโรคในสัตว์ป่ากลุ่ม Non-Human Primate|20170619|DGHP-OHWFD|20170619|DGHP-OHWFD
1|DGHP-OH-WFD|-|5|1|2|Office supplies at MOPH Monthly office supplies such as stationary, ink for printer, paper etc to be purchase quarterly ($222.64 x 4 quarters)|20161225|5778.00|10172201||||||ค่าผลิตโปสเตอร์ประชาสัมพันธ์ TEPHINET     ครั้งที่ 9 (หักณ ที่จ่าย 1%= 54 บาท)|20170109|DGHP-OHWFD|20170220|DGHP-OHWFD
1|DGHP-OH-WFD|-|8|2|1|Increase the number of epi. Trainer for veterinary by recruit FETP-V alumni to train the IFETP: Training for Trainer Partial support Training for Trainer (Cohort 10) for Vet.|20170821|50000.00|10172214||||||สนับสนุน นายสีใส ยี่สุ่นแสง เข้าร่วมโครงการ TOT รุ่นที่ 10|20170830|dghp-ohwfd|20170830|dghp-ohwfd
