CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|FLU-Lab|-|1|1|7|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20161226|24000.00|10178881||||||เงินเดือนนางสาวจินดา กนกสินสมบัติ ประจำ ธันวาคม 2559|20170206|Flu-Lab|20170206|Flu-Lab
1|FLU-Lab|-|1|1|8|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170131|24000.00|10178888||||||เงินเดิอนนางสาวจินดา กนกสินสมบัติ ประจำเดือน มกราคม 2560|20170207|Flu-Lab|20170207|Flu-Lab
1|FLU-Lab|-|1|1|9|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20161115|24000.00|10170921||||||เงินเดือนนางสาวจินดา กนกสินสมบัติ ประจำเดือน กันยายน 2559|20170116|Flu-Lab|20170223|Flu-Lab
1|FLU-Lab|-|1|1|11|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20161125|24000.00|10170935||||||เงินเดือนนางสาวจินดา กนกสินสมบัติ ประจำเดือน พฤศจิกายน 2559|20170116|Flu-Lab|20170223|Flu-Lab
1|FLU-Lab|-|1|1|12|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20161115|24000.00|10170928||||||เงินเดือน นางสาวจินดา กนกสินสมบัติ ประจำเดือน ตุลาคม 2559|20170116|Flu-Lab|20170223|Flu-Lab
1|FLU-Lab|-|1|1|13|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170224|24000.00|10178896||||||เงินเดือนนางสาวจินดา กนกสินสมบัติ ประจำเดือน กุมภาพันธ์ 2560|20170301|Flu-Lab|20170301|Flu-Lab
1|FLU-Lab|-|1|1|14|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170324|24000.00|10178905||||||เงินเดือนน.ส.จินดา กนกสินทรัพย์สมบัติ ประจำเดือน มี.ค. 60|20170425|Flu-Lab|20170425|Flu-Lab
1|FLU-Lab|-|1|1|15|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170425|24000.00|10178921||||||เงินเดือน น.ส.จินดา กนกสินสมบัติ ประจำเดือน เม.ย. 60|20170530|Flu-Lab|20170530|Flu-Lab
1|FLU-Lab|-|1|1|16|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170525|24000.00|10178927||||||เงินเดือน น.ส.จินดา กนกสินสมบัติ ประจำเดือน พ.ค. 60|20170530|Flu-Lab|20170530|Flu-Lab
1|FLU-Lab|-|1|1|17|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170626|24000.00|10178935||||||เงินเดือน น.ส. จินดา กนกสินสมบัติ ประจำเดือน มิ.ย. 60|20170706|Flu-Lab|20170706|Flu-Lab
1|FLU-Lab|-|1|1|18|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170725|24000.00|10178942||||||เงินเดือน น.ส.จินดา กนกสินสมบัติ ประจำเดือน ก.ค. 60|20170727|Flu-Lab|20170727|Flu-Lab
1|FLU-Lab|-|1|1|21|VAT-Project Coordinator Ms. Chinda Kanoksinsombat ($705.88 x 12 months x 100%)|20170825|24000.00|10178952||||||เงินเดือน น.ส.จินดา กนกสินสมบัติ ประจำเดือน ส.ค. 60|20170915|Flu-Lab|20170915|Flu-Lab
1|FLU-Lab|-|1|2|12|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20161226|17550.00|10178882|20170112|750.00|10178885|||เงินเดือนนายธนากร ศรีแสนใช้ ประจำเดือน ธันวาคม 2559|20170206|Flu-Lab|20170206|Flu-Lab
1|FLU-Lab|-|1|2|14|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20161115|17550.00|10170922|20161115|750.00|10170922|||เงินเดือน นายธนากร ศรีแสนใช้ ประจำเดือน กันยายน 2559|20170116|Flu-Lab|20170223|Flu-Lab
1|FLU-Lab|-|1|2|15|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20161125|17550.00|10170936|20161209|750.00|10170939|||เงินเดือน นายธนากร ศรีแสนใช้ ประจำเดือน พฤศจิกายน 2559|20170116|Flu-Lab|20170223|Flu-Lab
1|FLU-Lab|-|1|2|16|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20161115|17550.00|10170929|20161115|750.00|10170932|||เงินเดือน นายธนากร ศรีแสนใช้ ประจำเดือน ตุลาคม 2559|20170116|Flu-Lab|20170223|Flu-Lab
1|FLU-Lab|-|1|2|17|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20170131|17550.00|10178889|20170215|750.00|10178892|||เงินเดือนนายธนากร ศรีแสนใช้ ประจำเดือน มกราคม 2560|20170207|Flu-Lab|20170301|Flu-Lab
1|FLU-Lab|-|1|2|20|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20170224|17550.00|10178897|20170314|750.00|10178900|||เงินเดือนนายธนากร ศรีแสนใช้ ประจำเดือน กุมภาพันธ์ 2560|20170301|Flu-Lab|20170425|Flu-Lab
1|FLU-Lab|-|1|2|22|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20170324|17550.00|10178906|20170307|750.00|10178909|||เงินเดือน นายธนากร ศรีแสนใช้ ประจำเดือน มี.ค. 60|20170505|Flu-Lab|20170505|Flu-Lab
1|FLU-Lab|-|1|2|24|VAT-Project Assistance Mr.Thanakorn Sriseanchai ($538.23 x 12 months x 100%)|20170425|17550.00|10178922|20170502|750.00|10178925|||เงินเดือน นายธนากร ศรีแสนใช้ ประจำเดือน เม.ย.60|20170530|Flu-Lab|20170530|Flu-Lab
