CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|HSRP-COMBO|-|1|1|0|Community Liaison (Mr. Denchai Srikrongthong, Mr. Tanachai Chaisalee)|$147.06 or 5,000 THB * 12 months * 2 persons||0.00|0.00|120000.00|120000.00|Person|2|20.00|12.00|25000.00||||||
1|HSRP-COMBO|-|1|2|0|Researcher (Dr. Kamolnetr Okanurak, Dr. Aronrag Meeyai, Mahidol University)|$147.06 or 5,000 THB * 12 months * 2 persons||0.00|0.00|120000.00|120000.00|Person|2|10.00|12.00|50000.00||||||
1|HSRP-COMBO|-|1|2|1|Researcher (Dr. Kamolnetr Okanurak, Dr. Aronrag Meeyai, Mahidol University)|$147.06 or 5,000 THB * 12 months * 2 persons|||||81000.00|Annual|||||||20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-COMBO|-|1|3|0|Nurse|TBD ($1,029.41 or 35,000 THB * 9 months)||0.00|0.00|315000.00|315000.00|Person|1|100.00|9.00|35000.00||||||
1|HSRP-COMBO|-|1|3|1|Nurse|Ms.Jidanan  Krasan ($1,029.41 or 35,000 THB * 9 months)|||||210000.00|Person|1|100.00|6.00|35000.00|||20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-COMBO|-|1|4|0|Study Assistant|TBD ($735.29 or 25,000 THB * 9 months)||0.00|0.00|225000.00|225000.00|Person|1|100.00|9.00|25000.00||||||
1|HSRP-COMBO|-|1|4|1|Study Assistant|TBD ($735.29 or 25,000 THB * 9 months)|||||75000.00|Person|1|100.00|3.00|25000.00|||20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-COMBO|-|1|5|1|Project Coordinator|TBD ($735.29 or 25,000 THB * 2 months * 3 persons)|||||150000.00|Person|3|100.00|2.00|25000.00|||20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-COMBO|-|1|6|1|Physician for SWING Pattaya site|TBD ($2,117.64 or 72,000 THB * 2 months)|||||144000.00|Person|1|60.00|2.00|120000.00|||20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-COMBO|-|2|1|0|Nurse (TBD)|$22.06 or 750 THB * 9 months||0.00|0.00|6750.00|6750.00|Annual||||||||||
1|HSRP-COMBO|-|2|2|0|Study Assistant (TBD)|$22.06 or 750 THB * 9 months||0.00|0.00|6750.00|6750.00|Annual||||||||||
1|HSRP-COMBO|-|2|2|1|Study Assistant (TBD)|$22.06 or 750 THB * 9 months|||||2250.00|Annual|||||||20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-COMBO|-|2|3|1|Project Coordinator|$22.06 or 750 THB * 2 months * 3 persons|||||4500.00|Annual|||||||20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-COMBO|-|8|1|0|Participants compensation for clinical intervention|$29.41 or 1,000 THB * 2,796 participants||0.00|0.00|2796000.00|2796000.00|Case|2796|||||1000.00||||
1|HSRP-COMBO|-|8|2|0|Participants compensation for key informant interview|$23.53 or 800 THB * 88 participants, meeting support cost $129.41 or 4,400 THB||0.00|0.00|74800.00|74800.00|Case|88|||||850.00||||
1|HSRP-COMBO|-|8|3|0|Transcription for key informant interview|$117.65 or 4,000 THB * 88 participants||0.00|0.00|352000.00|352000.00|Case|88|||||4000.00||||
1|HSRP-COMBO|-|8|4|0|Translation (protocol and result of key informant interview)|$14.71 or 500 THB * 300 pages||0.00|0.00|150000.00|150000.00|Pages|300|||||500.00||||
