CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|KPIS|BATS|1|1|1|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20161031|51000.00|10171021|20161031|1500.00|10171028|||เงินเดือน ก.ย.-ต.ค.59 ศิรินทรา ประกันสังคม|20170106|kpis-bats|20170106|kpis-bats
1|KPIS|BATS|1|1|2|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20161130|25500.00|10171038|20161130|750.00|10174164|||เงินเดือนศิรินทรา พ.ย.59 ประกันสังคม|20170113|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|1|1|4|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20161230|25500.00|10174174|20161230|750.00|10174182|||เงินเดือน ศิรินทรา ธ.ค.59 ประกันสังคม|20170113|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|1|1|5|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20170131|25500.00|10174237|20170131|750.00|10174246|||เงินเดือน ศิรินทรา ม.ค.60 ประกันสังคม|20170201|kpis-bats|20170201|kpis-bats
1|KPIS|BATS|1|1|7|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20170228|25500.00|10193825|20170228|750.00|10193833|||เงินเดือนศิรินทรา ก.พ.60 ประกันสังคม|20170301|kpis-bats|20170301|kpis-bats
1|KPIS|BATS|1|1|9|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20170331|25500.00|10193880|20170331|750.00|10193888|||เงินเดือนศิรินทรา มี.ค.60 ประกันสังคม|20170418|kpis-bats|20170418|kpis-bats
1|KPIS|BATS|1|1|11|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20170428|25500.00|10193898|20170428|750.00|10193907|||เงินเดือน ศิรินทรา เม.ย.60 ประกันสังคม|20170508|kpis-bats|20170508|kpis-bats
1|KPIS|BATS|1|1|12|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20170531|28650.00|10193969|20170531|750.00|10193970|||เงินเดือน พ.ค.60+ตกเบิกเงินเดือน เม.ย.60,ศิรินทรา ประกันสังคม|20170601|kpis-bats|20170601|kpis-bats
1|KPIS|BATS|1|1|14|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20170630|27075.00|10213725|20170630|750.00|10213734|||เงินเดือน มิ.ย.60 ศิรินทรา ประกันสังคม|20170704|kpis-bats|20170704|kpis-bats
1|KPIS|BATS|1|1|16|BATS: Full-time project coordinator #1 (Central-BATS) (Sirintra P.)|20170731|27075.00|10213775|20170731|750.00|10213784|||เงินเดือนศิรินทรา ก.ค.60 ประกันสังคม|20170807|kpis-bats|20170807|kpis-bats
