CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|KPIS|SR|8|1|1|SR: Communication cost (telephone and internet)|20170109|2000.00|10012667||||||ค่าบัตรเติมเงินโทรศัพท์ ก.ย.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|1|3|SR: Communication cost (telephone and internet)|20170109|2000.00|10012670||||||ค่าบัตรเติมเงินโทรศัพท์ ต.ค.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|1|5|SR: Communication cost (telephone and internet)|20170109|2000.00|10012673||||||ค่าบัตรเติมเงินโทรศัพท์ พ.ย.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|1|7|SR: Communication cost (telephone and internet)|20170109|2000.00|10012676||||||ค่าบัตรเติมเงินโทรศัพท์ ธ.ค.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|1|9|SR: Communication cost (telephone and internet)|20170116|2000.00|10012679||||||ค่าบัตรเติมเงินโทรศัพท์ ม.ค.60|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|1|11|SR: Communication cost (telephone and internet)|20170201|2000.00|10016142||||||ค่าบัตรเติมเงินโทรศัพท์ ก.พ.60|20170302|kpis-sr|20170302|kpis-sr
1|KPIS|SR|8|1|13|SR: Communication cost (telephone and internet)|20170301|1500.00|10016145||||||ค่าบัตรเติมเงินโทรศัพท์ มี.ค.60|20170419|kpis-sr|20170419|kpis-sr
1|KPIS|SR|8|1|15|SR: Communication cost (telephone and internet)|20170403|2000.00|10016148||||||ค่าบัตรเติมเงินโทรศัพท์ เม.ย.60|20170505|kpis-sr|20170505|kpis-sr
1|KPIS|SR|8|1|17|SR: Communication cost (telephone and internet)|20170502|2000.00|10016153||||||ค่าบัตรเติมเงินโทรศัพท์ พ.ค.60|20170607|kpis-sr|20170607|kpis-sr
1|KPIS|SR|8|1|19|SR: Communication cost (telephone and internet)|20170601|2000.00|10016157||||||ค่าบัตรเติมเงินโทรศัพท์ มิ.ย.60|20170706|kpis-sr|20170706|kpis-sr
1|KPIS|SR|8|1|22|SR: Communication cost (telephone and internet)|20170801|2000.00|10016163||||||ค่าบัตรเติมเงินโทรศัพท์ ส.ค.60|20170914|kpis-sr|20170914|kpis-sr
1|KPIS|SR|8|1|23|SR: Communication cost (telephone and internet)|20170701|2000.00|10016160||||||ค่าบัตรเติมเงินโทรศัพท์ ก.ค.60|20170804|kpis-sr|20170914|kpis-sr
1|KPIS|SR|8|2|1|SR: Lab and medical fee |20170109|9534.00|10012666||||||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ ก.ย.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|2|3|SR: Lab and medical fee |20170109|2332.00|10012669||||||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ ต.ค.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|2|5|SR: Lab and medical fee |20170109|260.00|10012672||||||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ พ.ย.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|2|7|SR: Lab and medical fee |20170109|15477.00|10012675||||||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ ธ.ค.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|2|10|SR: Lab and medical fee |20170116|8000.00|10012678|20170202|-2509.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ ม.ค.60|20170203|kpis-sr|20170302|kpis-sr
1|KPIS|SR|8|2|13|SR: Lab and medical fee |20170201|8000.00|10016141|20170103|-3792.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ ก.พ.60|20170302|kpis-sr|20170321|kpis-sr
1|KPIS|SR|8|2|16|SR: Lab and medical fee |20170301|6000.00|10016144|20170404|-2567.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ มี.ค.60|20170419|kpis-sr|20170505|kpis-sr
1|KPIS|SR|8|2|20|SR: Lab and medical fee |20170403|11583.00|10016150||||||เบิกเพิ่มค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ มี.ค.60|20170505|kpis-sr|20170505|kpis-sr
1|KPIS|SR|8|2|21|SR: Lab and medical fee |20170403|9000.00|10016147|20170502|-2758.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ เม.ย.60|20170505|kpis-sr|20170607|kpis-sr
1|KPIS|SR|8|2|24|SR: Lab and medical fee |20170502|10000.00|10016152|20170601|-2399.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ พ.ค.60|20170607|kpis-sr|20170706|kpis-sr
1|KPIS|SR|8|2|27|SR: Lab and medical fee |20170601|10000.00|10016156|20170703|-5484.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ มิ.ย.60|20170706|kpis-sr|20170804|kpis-sr
1|KPIS|SR|8|2|30|SR: Lab and medical fee |20170101|10000.00|10016159|20170803|-8800.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ ก.ค.60|20170804|kpis-sr|20170914|kpis-sr
1|KPIS|SR|8|2|32|SR: Lab and medical fee |20170801|8000.00|10016162|20170831|-1154.00|cash|||ค่าบริการทางการแพทย์ในส่วนที่เกินสิทธิ ส.ค.60 ** คืนเงินเข้าบัญชี วันที่ 4 ก.ย.60|20170914|kpis-sr|20170914|kpis-sr
1|KPIS|SR|8|3|1|SR: Compensation for participants (follow-up visits)|20170109|37000.00|10012665||||||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ ก.ย.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|3|3|SR: Compensation for participants (follow-up visits)|20170109|23500.00|10012668||||||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ ต.ค.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|3|5|SR: Compensation for participants (follow-up visits)|20170109|16000.00|10012671||||||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ พ.ย.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|3|7|SR: Compensation for participants (follow-up visits)|20170109|24500.00|10012674||||||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ ธ.ค.59|20170203|kpis-sr|20170203|kpis-sr
1|KPIS|SR|8|3|10|SR: Compensation for participants (follow-up visits)|20170116|25000.00|10012677|20170202|-9500.00|cash|||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ ม.ค.60|20170203|kpis-sr|20170302|kpis-sr
1|KPIS|SR|8|3|13|SR: Compensation for participants (follow-up visits)|20170201|25000.00|10012680|20170301|-5000.00|cash|||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ ก.พ.60|20170302|kpis-sr|20170321|kpis-sr
1|KPIS|SR|8|3|16|SR: Compensation for participants (follow-up visits)|20170301|22500.00|10016143||||||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ มี.ค.60|20170419|kpis-sr|20170505|kpis-sr
1|KPIS|SR|8|3|18|SR: Compensation for participants (follow-up visits)|20170403|28000.00|10016146||||||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ เม.ย.60|20170505|kpis-sr|20170505|kpis-sr
1|KPIS|SR|8|3|20|SR: Compensation for participants (follow-up visits)|20170403|3500.00|10016149||||||เบิกเพิ่มค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ มี.ค.60|20170505|kpis-sr|20170505|kpis-sr
1|KPIS|SR|8|3|22|SR: Compensation for participants (follow-up visits)|20170502|1000.00|10016154||||||เบิกเพิ่มค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ เม.ย.60|20170607|kpis-sr|20170607|kpis-sr
1|KPIS|SR|8|3|25|SR: Compensation for participants (follow-up visits)|20170502|28000.00|10016151|20170601|-10500.00|cash|||คาตอบแทนอาสาสมัครที่เข้าร่วมโครงการ พ.ค.60|20170607|kpis-sr|20170706|kpis-sr
1|KPIS|SR|8|3|28|SR: Compensation for participants (follow-up visits)|20170601|25000.00|10016155|20170703|-13000.00|cash|||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ มิ.ย.60|20170706|kpis-sr|20170804|kpis-sr
1|KPIS|SR|8|3|34|SR: Compensation for participants (follow-up visits)|20170801|25000.00|10016161|20170831|-8000.00|cash|||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ ส.ค.60 ** คืนเงินเข้าบัญชี วันที่ 4 ก.ย.60|20170914|kpis-sr|20170914|kpis-sr
1|KPIS|SR|8|3|36|SR: Compensation for participants (follow-up visits)|20170701|25000.00|10016158|20170803|-16500.00|cash|||ค่าตอบแทนอาสาสมัครที่เข้าร่วมโครงการ ก.ค.60|20170804|kpis-sr|20170914|kpis-sr
