CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|LAB-TB-EQA|-|1|1|1|Compensation for Government staff Project Investigator:Dr. Chawetsan Namwat($2.06/hourx 28 hours x 12 months x 1 person)|20170228|9800.00|10056565||||||ค่าตอบแทน พญ.ผลิน กมลวัทน์ เดือน ต.ค. - ก.พ.|20170303|lab-tb-eqa|20170303|lab-tb-eqa
1|LAB-TB-EQA|-|1|1|4|Compensation for Government staff Project Investigator:Dr. Chawetsan Namwat($2.06/hourx 28 hours x 12 months x 1 person)|20170615|7840.00|10056579||||||ค่าตอบแทน พญ.ผลิน กมลวัทน์ เดือน มี.ค. - มิ.ย.60|20170615|lab-tb-eqa|20170615|lab-tb-eqa
1|LAB-TB-EQA|-|1|1|6|Compensation for Government staff Project Investigator:Dr. Chawetsan Namwat($2.06/hourx 28 hours x 12 months x 1 person)|20170831|4410.00|10056586||||||ค่าตอบแทน พญ.ผลิน กมลวัทน์ เดือน ก.ค.-ส.ค.|20170907|lab-tb-eqa|20170907|lab-tb-eqa
1|LAB-TB-EQA|-|1|2|1|Compensation for Government staff Project Coordinator:Mrs. Saijai Smith, Mrs.Chanattree($2.06/hourx 29 hours x 12 months x 2 persons)|20170228|9030.00|10056566||||||ค่าตอบแทน นางชนัฎตรี ก๋ำดี เดือน ก.ย. - ก.พ. 60|20170303|lab-tb-eqa|20170303|lab-tb-eqa
1|LAB-TB-EQA|-|1|2|3|Compensation for Government staff Project Coordinator:Mrs. Saijai Smith, Mrs.Chanattree($2.06/hourx 29 hours x 12 months x 2 persons)|20170228|9030.00|10056567||||||ค่าตอบแทน น.ส.สุมล  เจริญสุนถาวร เดือน ก.ย. - ก.พ. 60|20170303|lab-tb-eqa|20170303|lab-tb-eqa
1|LAB-TB-EQA|-|1|2|5|Compensation for Government staff Project Coordinator:Mrs. Saijai Smith, Mrs.Chanattree($2.06/hourx 29 hours x 12 months x 2 persons)|20170228|9030.00|10056568||||||ค่าตอบแทน น.ส.อมราภรณ์ สิงใส เดือน ก.ย. - ก.พ. 60|20170303|lab-tb-eqa|20170303|lab-tb-eqa
1|LAB-TB-EQA|-|1|2|8|Compensation for Government staff Project Coordinator:Mrs. Saijai Smith, Mrs.Chanattree($2.06/hourx 29 hours x 12 months x 2 persons)|20170615|5880.00|10056580||||||ค่าตอบแทน นางชนัฎตรี ก๋ำดี เดือน  มี.ค. - มิ.ย.60|20170615|lab-tb-eqa|20170615|lab-tb-eqa
1|LAB-TB-EQA|-|1|2|13|Compensation for Government staff Project Coordinator:Mrs. Saijai Smith, Mrs.Chanattree($2.06/hourx 29 hours x 12 months x 2 persons)|20170615|5880.00|10056581||||||ค่าตอบแทน น.ส.สุมล  เจริญสุนถาวร เดือน มี.ค. - มิ.ย.60|20170615|lab-tb-eqa|20170615|lab-tb-eqa
1|LAB-TB-EQA|-|1|2|14|Compensation for Government staff Project Coordinator:Mrs. Saijai Smith, Mrs.Chanattree($2.06/hourx 29 hours x 12 months x 2 persons)|20170615|5880.00|10056582||||||ค่าตอบแทน น.ส.อมราภรณ์ สิงใส เดือน มี.ค. - มิ.ย.60|20170615|lab-tb-eqa|20170615|lab-tb-eqa
1|LAB-TB-EQA|-|1|2|18|Compensation for Government staff Project Coordinator:Mrs. Saijai Smith, Mrs.Chanattree($2.06/hourx 29 hours x 12 months x 2 persons)|20170831|2940.00|10056587||||||ค่าตอบแทน นางชนัฎตรี ก๋ำดี เดือน ก.ค.-ส.ค.|20170907|lab-tb-eqa|20170907|lab-tb-eqa
