CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|NCD-Cancer|-|1|6|38|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170420|1960.00|10021727||||||เดือนมกราคม 2560 (นายปภาวิน แจ่มศรี)|20170307|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|39|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170420|1680.00|10021725||||||เดือนกุมภาพันธ์ 2560 (นายปภาวิน แจ่มศรี)|20170307|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|40|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170607|2380.00|10021733||||||เดือนมีนาคม 2560 (นายปภาวิน แจ่มศรี)|20170621|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|42|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170706|1960.00|10021736||||||เดือนพฤษภาคม 2560 (นายปภาวิน แจ่มศรี)|20170621|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|43|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170810|1960.00|10021737||||||เดือนมิถุนายน 2560 (นายปภาวิน แจ่มศรี)|20170810|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|48|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170607|1820.00|10021730||||||เดือนเมษายน 2560 (นางปริณดา แพ่งเมือง)|20170621|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|49|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170607|2800.00|10021732||||||เดือนมีนาคม 2560 (นางปริณดา แพ่งเมือง)|20170621|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|50|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170706|2380.00|10021735||||||เดือนพฤษภาคม 2560 (นางปริณดา แพ่งเมือง)|20170621|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|51|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170810|2520.00|10021738||||||เดือนมิถุนายน 2560 (นางปริณดา แพ่งเมือง)|20170810|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|54|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170607|700.00|10021731||||||เดือนเมษายน 2560 (นายปภาวิน แจ่มศรี)|20170621|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|55|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170420|1820.00|10021724||||||เดือนกุมภาพันธ์ 2560 (นางปริณดา แพ่งเมือง)|20170307|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|56|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170420|1820.00|10021726||||||เดือนมกราคม 2560 (นางปริณดา แพ่งเมือง)|20170307|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|57|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170831|2800.00|10021742||||||เดือนสิงหาคม 2560 (นางปริณดา แพ่งเมือง) จ่ายจริง 12-09-60|20170918|NCD1-CANCER|20170927|NCD1-CANCER
1|NCD-Cancer|-|1|6|58|Compensation for government staff For government staffs  ($2.06/70THB)*2hr*18days*10 mth*2persons|20170831|1820.00|10021741||||||เดือนกรกฎาคม 2560 (นายปภาวิน แจ่มศรี) จ่ายจริง 12-09-60|20170918|NCD1-CANCER|20170927|NCD1-CANCER
