CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|PIF|BATS|1|1|0|Central: Project coordinator|TBD||0.00|0.00|160000.00|160000.00|Person|1|100.00|8.00|20000.00||||||
1|PIF|BATS|1|1|1|Central: Project coordinator|Mr:Tatchakorn Prasanworakitkun|||||100000.00|Person|1|100.00|5.00|20000.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|2|0|BKK: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|2|1|BKK: Project coordinator|Miss.Orathai khanngoen|||||100000.00|Person|1|100.00|5.00|20000.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|3|0|NTB: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|3|1|NTB: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|4|0|PTN: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|4|1|PTN: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|5|0|CNB: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|5|1|CNB: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|6|0|SMP: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|6|1|SMP: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|7|0|KR: Nurse|TBD||0.00|0.00|144000.00|144000.00|Person|1|100.00|8.00|18000.00||||||
1|PIF|BATS|1|7|1|KR: Nurse|Miss Benjamas Rangklang|||||100000.00|Person|1|100.00|5.00|20000.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|8|0|KR: Project coordinator|TBD||0.00|0.00|128000.00|128000.00|Person|1|100.00|8.00|16000.00||||||
1|PIF|BATS|1|8|1|KR: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|9|0|KK: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|9|1|KK: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|10|0|UD: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|10|1|UD: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|11|0|UB: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|11|1|UB: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|12|0|CM: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|12|1|CM: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|13|0|CR: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|13|1|CR: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|14|0|PK: Project coordinator|TBD||0.00|0.00|128000.00|128000.00|Person|1|100.00|8.00|16000.00||||||
1|PIF|BATS|1|14|1|PK: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|15|0|SKL: Project coordinator|TBD||0.00|0.00|80000.00|80000.00|Person|1|100.00|5.00|16000.00||||||
1|PIF|BATS|1|15|1|SKL: Project coordinator|TBD|||||0.00|Person|1|100.00|0.00|0.00|||20170517|PIF|20170517|PIF
1|PIF|BATS|1|16|0|Center: Compensation for government staff|TBD||0.00|0.00|40000.00|40000.00|Annual||||||||||
1|PIF|BATS|1|16|1|Center: Compensation for government staff|Pensri , Chaisuk , Sirilak , Rawiporn|||||60000.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|17|0|BKK: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|17|1|BKK: Compensation for government staff|Patcharanut , Kunrachut|||||20000.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|18|0|NTB: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|18|1|NTB: Compensation for government staff||||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|19|0|PTN: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|19|1|PTN: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|20|0|CNB: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|20|1|CNB: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|21|0|SMP: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|21|1|SMP: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|22|0|KR: Compensation for government staff|TBD||0.00|0.00|40000.00|40000.00|Annual||||||||||
1|PIF|BATS|1|22|1|KR: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|23|0|KK: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|23|1|KK: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|24|0|UD: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|24|1|UD: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|25|0|UB: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|25|1|UB: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|26|0|CM: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|26|1|CM: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|27|0|CR: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|27|1|CR: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|28|0|PK: Compensation for government staff|TBD||0.00|0.00|40000.00|40000.00|Annual||||||||||
1|PIF|BATS|1|28|1|PK: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|1|29|0|SKL: Compensation for government staff|TBD||0.00|0.00|25000.00|25000.00|Annual||||||||||
1|PIF|BATS|1|29|1|SKL: Compensation for government staff|TBD|||||0.00|Annual|||||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|1|0|Central: Project coordinator|TBD||0.00|0.00|8000.00|8000.00|Person|1|160000.00|5.00|||||||
1|PIF|BATS|2|1|1|Central: Project coordinator|Mr:Tatchakorn Prasanworakitkun|||||3750.00|Person|1|75000.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|2|0|BKK: Project coordinator|TBD||0.00|0.00|4000.00|4000.00|Person|1|80000.00|5.00|||||||
1|PIF|BATS|2|2|1|BKK: Project coordinator|Miss.Orathai khanngoen|||||3750.00|Person|1|75000.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|3|0|NTB: Project coordinator|TBD||0.00|0.00|4000.00|4000.00|Person|1|80000.00|5.00|||||||
1|PIF|BATS|2|3|1|NTB: Project coordinator|TBD|||||0.00|Person|1|0.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|4|0|PTN: Project coordinator|TBD||0.00|0.00|4000.00|4000.00|Person|1|80000.00|5.00|||||||
1|PIF|BATS|2|4|1|PTN: Project coordinator|TBD|||||0.00|Person|1|0.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|5|0|CNB: Project coordinator|TBD||0.00|0.00|4000.00|4000.00|Person|1|80000.00|5.00|||||||
1|PIF|BATS|2|5|1|CNB: Project coordinator|TBD|||||0.00|Person|1|0.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|6|0|SMP: Project coordinator|TBD||0.00|0.00|4000.00|4000.00|Person|1|80000.00|5.00|||||||
1|PIF|BATS|2|6|1|SMP: Project coordinator|TBD|||||0.00|Person|1|0.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|7|0|KR: Nurse|TBD||0.00|0.00|7200.00|7200.00|Person|1|144000.00|5.00|||||||
1|PIF|BATS|2|7|1|KR: Nurse|Miss Benjamas Rangklang|||||3750.00|Person|1|75000.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|8|0|KR: Project coordinator|TBD||0.00|0.00|6400.00|6400.00|Person|1|128000.00|5.00|||||||
1|PIF|BATS|2|8|1|KR: Project coordinator|TBD|||||0.00|Person|1|0.00|5.00||||20170517|PIF|20170517|PIF
1|PIF|BATS|2|9|0|KK: Project coordinator|TBD||0.00|0.00|4000.00|4000.00|Person|1|80000.00|5.00|||||||
