CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
2|PIF|PCM-HF|1|1|0|PIF-PCM-HF:Team lead: Provincial ending AIDS plan and resource mobilization|||0.00|0.00|240000.00|240000.00|Person|1|100.00|4.00|60000.00|||20170327||20170821|
2|PIF|PCM-HF|1|2|0|PIF-PCM-HF:Compensation for government staff|9 persons (Porntip Khemngern, Nunthawan Wongtip, Siriporn Monyarit, Jittra Onnom, Aumanad Aunanan, Napakan Khonsue, Kamolporn thirawat, Panipak Thongchang,  Sunisa Chaisupa||0.00|0.00|29500.00|29500.00|Annual|||||||20170327||20170914|
2|PIF|PCM-HF|2|1|0|PIF-PCM-HF:Team lead: Provincial ending AIDS plan and resource mobilization|||0.00|0.00|9000.00|9000.00|Person|1|240000.00|5.00||||20170328||20170821|
2|PIF|PCM-HF|2|2|0|PIF-PCM-HF:Annual medical check up (Team lead)|$58.82 x1 person||0.00|0.00|2000.00|2000.00|Annual|||||||20170328||20170411|
2|PIF|PCM-HF|3|1|0|PIF-PCM-HF: Strengthening PCM function (Central meeting)|PCM I: non local participants (NLP) from13 provinces||0.00|0.00|260000.00|260000.00|Time|1|40.00|2.00|2000.00|2500.00|0.00|20170327||20170914|
2|PIF|PCM-HF|3|2|0|PIF-PCM-HF:Workshop to report results of PCM and SIME (Central meeting)|PCM IV:13 provinces(NLP)-integrate with BATS-Strategies annual meeting||0.00|0.00|-0.00|0.00|Time|1|0.00|0.00|0.00|0.00|0.00|20170327||20170411|
2|PIF|PCM-HF|3|3|0|PIF-PCM-HF:Workshop on provincial ending AIDS plan and resource mobilization plan development- overview|Ending AIDS Plan I: (overview meeting with individual province targeted 6 provinces)||0.00|0.00|108000.00|108000.00|Time|6|4.00|1.00|2000.00|2500.00|0.00|20170410||20170823|
2|PIF|PCM-HF|3|4|0|PIF-PCM-HF:Provincial (M&E unit) meeting for using SI to develop provincial ending AIDS plan|Ending AIDS Plan II:(6 provinces x 1 time) travel (by flight x 5 provinces, By car x 6 provinces)||0.00|0.00|108000.00|108000.00|Time|6|4.00|1.00|2000.00|2500.00|0.00|20170410||20170914|
2|PIF|PCM-HF|5|1|0|PIF-PCM-HF:Office supply|13 provinces||0.00|0.00|-0.00|0.00|site|0|10000.00|||||20170327||20170822|
2|PIF|PCM-HF|8|1|0|PIF-PCM-HF:Strengthening PCM function (Central meeting)|PCM I:Central staff||0.00|0.00|24000.00|24000.00|Time|1|20.00|2.00|600.00|0.00|0.00|20170327||20170822|
2|PIF|PCM-HF|8|2|0|PIF-PCM-HF:Regular PCM meetings (General PCM and accreditation)|PCM II:  (local participants) 13 province x 2 times||0.00|0.00|325000.00|325000.00|Time|26|25.00|1.00|500.00|0.00|0.00|20170327||20170823|
2|PIF|PCM-HF|8|3|0|PIF-PCM-HF:Provincial AIDS sub-Committee meeting|PCM III: (local participants)||0.00|0.00|-0.00|0.00|Time|0|30.00|1.00|0.00|0.00|0.00|20170327||20170821|
2|PIF|PCM-HF|8|4|0|PIF-PCM-HF:Workshop to report results of PCM and SIME (Central meeting)|PCM IV:13 provinces (non local participants) - integrate with BATS-Strategies annual meeting||0.00|0.00|-0.00|0.00|Time|1|0.00|0.00|0.00|0.00|0.00|20170327||20170411|
2|PIF|PCM-HF|8|5|0|PIF-PCM-HF:Workshop Management and Meeting facility|Cost related to meeting venue renting, printing materials and Audiovisuals rent||0.00|0.00|-0.00|0.00|Annual|||||||20170328||20170822|
2|PIF|PCM-HF|8|6|0|PIF-PCM-HF:Workshop on provincial ending AIDS plan and resource mobilization plan development- overview|Ending AIDS Plan I: (central overview meeting with individual province targeted 11 provinces)||0.00|0.00|165000.00|165000.00|Time|11|30.00|1.00|500.00|0.00|0.00|20170410||20170821|
2|PIF|PCM-HF|8|7|0|PIF-PCM-HF:Provincial (M&E unit) meeting for using SI to develop provincial ending AIDS plan|Ending AIDS Plan II: follow up meetings by individual province (targeted 11 provinces)||0.00|0.00|82500.00|82500.00|Time|11|15.00|1.00|500.00|0.00|0.00|20170410||20170821|
2|PIF|PCM-HF|8|8|0|Exchange rate management|To support depreciation from the exchange rate fluctuation during the budget year||0.00|0.00|41000.00|41000.00|Annual|||||||20170822||20170914|
