CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|PrEP2START-LAB|-|1|2|2|Overtime for project staff Project coordinator and Project secretary|20170517|16000.00|10176483||||||ธนวงค์ บัวซ้อน|20170519||20170519|
1|PrEP2START-LAB|-|1|2|3|Overtime for project staff Project coordinator and Project secretary|20170517|16000.00|10176484||||||อรพรรณ ยอดฉุน|20170519||20170519|
1|PrEP2START-LAB|-|1|2|4|Overtime for project staff Project coordinator and Project secretary|20170831|8000.00|10176488||||||ธนวงค์  บัวซ้อน จ่ายเช็ควันที่ 11/9/2560|20170907|prep2start-lab|20170907|prep2start-lab
1|PrEP2START-LAB|-|1|2|5|Overtime for project staff Project coordinator and Project secretary|20170831|8000.00|10176489||||||อรพรรณ  ยอดฉุน จ่ายเช็ควันที่ 11/9/2560|20170907|prep2start-lab|20170907|prep2start-lab
1|PrEP2START-LAB|-|3|1|2|Network Lab Meeting for monitoring QI project in Khonkean and Udonthani province (Non Local participant-MOPH)|20170705|52186.00|10176485|20170727|-22426.00|Cash|||บย 3/60 Training LAB 6-7/7/2560 @ขอนแก่น|20170808|prep2start-lab|20170808|prep2start-lab
1|PrEP2START-LAB|-|3|1|8|Network Lab Meeting for monitoring QI project in Khonkean and Udonthani province (Non Local participant-MOPH)|20170711|66142.00|10176486|20170801|-35902.00|Cash|||บย 4/60 Training LAB 12-13/7/2560 @อุดรธานี|20170808|prep2start-lab|20170927|prep2start-lab
1|PrEP2START-LAB|-|3|3|9|Capacity building on lab quality related training topic in Khonkean and Udonthani province 2 time per provinces (Khonkean and Udonthani) (Non local Resource person-MOPH)|20170419|262864.00|10176482|20170509|-24262.00|Cash|||พัฒนาศักยภาพ LAB@ขอนแก่น 20-21/4/2560 คืนครั้งที่ 1 22,494.- (9/5/2560) คืนครั้งที่ 2 1,160.- (4/9/2560) และคืนครั้งที่ 3 608.- (5/10/2560)|20170313|prep2start-lab|20171004|prep2start-lab
1|PrEP2START-LAB|-|3|6|7|Transportation cost Local Resource person and local participants (gasoline, car rental, tolls fee, taxi)|20170419|17876.00|10176482||||||พัฒนาศักยภาพ LAB@ขอนแก่น 20-21/4/2560|20170313|prep2start-lab|20170519|
1|PrEP2START-LAB|-|3|6|8|Transportation cost Local Resource person and local participants (gasoline, car rental, tolls fee, taxi)|20170705|10014.00|10176485||||||บย 3/60 Training LAB 6-7/7/2560 @ขอนแก่น|20170808|prep2start-lab|20170808|prep2start-lab
1|PrEP2START-LAB|-|3|6|12|Transportation cost Local Resource person and local participants (gasoline, car rental, tolls fee, taxi)|20170827|16356.00|10176487||||||บย 5/60 28-29/8/2560 @ อุดรธานี|20170907|prep2start-lab|20170907|prep2start-lab
