CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|CARE|COACH|1|1|5|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161031|36029.00|10170707|20161031|750.00|10170709|||เดือนตุลาคม 59 ประกันสังคม ตุลาคม 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|6|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161025|36029.00|10170701|20161025|750.00|10170703|||เดือนกันยายน 59 ประกันสังคม กันยายน 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|7|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161025|1100.00|10170704||||||ภาษี กันยายน 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|10|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161031|1100.00|10170710||||||ภาษี ตุลาคม 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|11|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161130|36029.00|10170717|20161130|750.00|10170719|||เดือนพฤศจิกายน 59 ประกันสังคม พฤศจิกายน 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|12|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161130|1100.00|10170720||||||ภาษี พฤศจิกายน 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|14|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161230|36029.00|10173807|20161230|750.00|10173809|||เดือนธันวาคม 59 ประกันสังคม ธันวาคม 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|16|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20161230|1100.00|10173810||||||ภาษี ธันวาคม 59|20170127|care-coach|20170127|care-coach
1|CARE|COACH|1|1|19|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20170131|36029.00|10173823|20170131|750.00|10173825|||เดือนมกราคม 60 ประกันสังคม มกราคม 60|20170130|care-coach|20170130|care-coach
1|CARE|COACH|1|1|20|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20170131|1100.00|10173826||||||ภาษี มกราคม 60|20170130|care-coach|20170130|care-coach
1|CARE|COACH|1|1|21|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20170228|36029.00|10173827|20170228|750.00|10173829|||เดือนกุมภาพันธ์ 60 ประกันสังคม กุมภาพันธ์ 60|20170227|care-coach|20170227|care-coach
1|CARE|COACH|1|1|22|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20170228|1100.00|10173830||||||ภาษี เดือนกุมภาพันธ์ 60|20170227|care-coach|20170227|care-coach
1|CARE|COACH|1|1|23|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20170331|36029.00|10173842|20170331|750.00|10173844|||เดือนมีนาคม 60 ประกันสังคม มีนาคม 60|20170410|care-coach|20170410|care-coach
1|CARE|COACH|1|1|24|COACH-Project coordinator (Ms.Kanjana) Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation|20170331|1100.00|10173845||||||ภาษี เดือนมีนาคม 60|20170410|care-coach|20170410|care-coach
