CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
2|PrEP2START-SL|CARE|1|1|0|CARE: Compensation for government staff (Management team)|Ms.Lisa G.||0.00|0.00|72000.00|72000.00|Annual|||||||20170317||20171113|
2|PrEP2START-SL|CARE|3|1|0|CARE: Multidisciplinary workshop|||0.00|0.00|36000.00|36000.00|Time|1|3.00|2.00|2000.00|8000.00|0.00|20170324||20171113|
2|PrEP2START-SL|CARE|3|2|0|CARE: Retention for quality improvement|||0.00|0.00|50000.00|50000.00|Time|2|2.00|2.00|2000.00|8000.00|1000.00|20170324||20171113|
2|PrEP2START-SL|CARE|3|3|0|CARE: Technical working group (ARV network)|||0.00|0.00|42000.00|42000.00|Time|1|5.00|1.00|2000.00|6400.00|0.00|20170324||20171113|
2|PrEP2START-SL|CARE|3|4|0|CARE-PN&PT: Non local Resource Person|Meeting for training curriculum review/revise||0.00|0.00|24000.00|24000.00|Time|1|2.00|2.00|2000.00|8000.00|0.00|20170912||20171113|
2|PrEP2START-SL|CARE|3|5|0|CARE-PN&PT: Non local Resource Person|Training||0.00|0.00|42000.00|42000.00|Time|1|3.00|3.00|2000.00|8000.00|0.00|20170912||20171113|
2|PrEP2START-SL|CARE|3|6|0|CARE-PN&PT: Monitoring at site|KK, UD, PK; 2 times/site||0.00|0.00|120000.00|120000.00|Time|6|2.00|1.00|2000.00|8000.00|0.00|20170912||20171113|
2|PrEP2START-SL|CARE|3|7|0|CARE-PN&PT: Training I participants|KK, UD, PK||0.00|0.00|129000.00|129000.00|Time|3|3.00|3.00|2000.00|8000.00|1000.00|20170912||20171113|
2|PrEP2START-SL|CARE|3|8|0|CARE-PN&PT: Training II participants|KK, UD, PK||0.00|0.00|111000.00|111000.00|Time|3|3.00|2.00|2000.00|8000.00|1000.00|20170912||20171113|
2|PrEP2START-SL|CARE|8|1|0|CARE: Multidisciplinary team workshop|||0.00|0.00|37500.00|37500.00|Time|1|30.00|2.00|600.00|0.00|1500.00|20170317||20171113|
2|PrEP2START-SL|CARE|8|2|0|CARE: Retention quality improvevment|||0.00|0.00|19500.00|19500.00|Time|1|15.00|2.00|600.00|0.00|1500.00|20170317||20171113|
2|PrEP2START-SL|CARE|8|3|0|CARE: Technical working group ARV network|||0.00|0.00|17968.00|17968.00|Time|1|25.00|1.00|600.00|0.00|2968.00|20170317||20171113|
2|PrEP2START-SL|CARE|8|4|0|CARE: Communication Cost|||0.00|0.00|6000.00|6000.00|Month|12|||||500.00|20170317||20171113|
2|PrEP2START-SL|CARE|8|5|0|CARE-PN&PT: Meeting for training curriculum review/revise in BKK|Meeting for training curriculum review/revise||0.00|0.00|27000.00|27000.00|Time|2|10.00|2.00|600.00|0.00|1500.00|20170912||20171113|
2|PrEP2START-SL|CARE|8|6|0|CARE-PN&PT: Training I Resource persons|||0.00|0.00|32400.00|32400.00|Time|1|3.00|3.00|3600.00|0.00|0.00|20170912||20171113|
2|PrEP2START-SL|CARE|8|7|0|CARE-PN&PT: Training I participants  BKK|||0.00|0.00|34000.00|34000.00|Time|1|11.00|3.00|600.00|1200.00|1000.00|20170912||20171113|
2|PrEP2START-SL|CARE|8|8|0|CARE-PN&PT: Training II participants  BKK|||0.00|0.00|27400.00|27400.00|Time|1|11.00|2.00|600.00|1200.00|1000.00|20170912||20171113|
