CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|PrEP2START-SU|SU|1|2|1|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20161130|8550.00|10170700|20161130|450.00|10175043|||ค่าตอบแทน กย - พย 2559 ภาษี|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|2|3|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170208|5700.00|10175070|20170208|300.00|10175073|||ค่าตอบแทน ธค 59-มค 60 ภาษี|20170301|Prep2start-su|20170301|Prep2start-su
1|PrEP2START-SU|SU|1|2|4|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170314|2850.00|10175094|20170331|150.00|10175097|||ค่าตอบแทน กพ 2560 ภาษี กพ|20170407|prep2start-su|20170407|prep2start-su
1|PrEP2START-SU|SU|1|2|5|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170428|2850.00|10175103|20170428|150.00|10175109|||ค่าตอบแทน มีค 2560 ภาษี มีค|20170504|prep2start-su|20170504|prep2start-su
1|PrEP2START-SU|SU|1|2|7|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170522|2850.00|10175119|20170531|150.00|10175124|||ค่าตอบแทน เมย 2560 ภาษี เมย|20170601|prep2start-su|20170601|prep2start-su
1|PrEP2START-SU|SU|1|2|10|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170602|2850.00|10175135|20170602|150.00|10175140|||ค่าตอบแทน พค 2560 ภาษี พค|20170705|Prep2start-su|20170705|Prep2start-su
1|PrEP2START-SU|SU|1|2|14|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170731|2850.00|10213654|20170731|150.00|10213646|||ค่าตอบแทน กค 2560 ภาษี กค|20170801|prep2start-su|20170801|prep2start-su
1|PrEP2START-SU|SU|1|2|15|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170712|2850.00|10213633|20170712|150.00|10213638|||ค่าตอบแทน มิย 2560 ภาษี มิย|20170801|prep2start-su|20170802|prep2start-su
1|PrEP2START-SU|SU|1|2|16|Compensation for Government staff (Project Coordinator) Ms.Tumneab|20170831|2850.00|10213667|20170831|150.00|10213672|||ค่าตอบแทน สค 2560 ภาษี สค|20170901|prep2start-su|20170901|prep2start-su
1|PrEP2START-SU|SU|1|3|2|Project coordinator assistant Ms.Kanha|20161025|29650.00|10170681|20161031|500.00|10170684|||เงินเดือน กย 2559 ภาษี กย 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|3|Project coordinator assistant Ms.Kanha|20161031|750.00|10170683||||||ปกส กย 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|4|Project coordinator assistant Ms.Kanha|20161028|29650.00|10170687|20161031|500.00|10170690|||เงินเดือน ตค 2559 ภาษี ตค 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|5|Project coordinator assistant Ms.Kanha|20161031|750.00|10170689||||||ปกส ตค 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|7|Project coordinator assistant Ms.Kanha|20161130|29650.00|10170694|20161130|500.00|10170697|||เงินเดือน พย 2559 ภาษี พย 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|8|Project coordinator assistant Ms.Kanha|20161130|750.00|10170696||||||ปกส พย 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|10|Project coordinator assistant Ms.Kanha|20161230|29650.00|10175049|20161230|500.00|10175052|||เงินเดือน ธค 2559 ภาษี ธค 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|11|Project coordinator assistant Ms.Kanha|20161230|750.00|10175051||||||ปกส ธค 2559|20170206|prep2start-su|20170206|prep2start-su
1|PrEP2START-SU|SU|1|3|13|Project coordinator assistant Ms.Kanha|20170131|29650.00|10175059|20170131|500.00|10175062|||เงินเดือน มค 2560 ภาษี มค 2560|20170207|prep2start-su|20170207|prep2start-su
1|PrEP2START-SU|SU|1|3|14|Project coordinator assistant Ms.Kanha|20170131|750.00|10175061||||||ปกส มค 2560|20170207|prep2start-su|20170207|prep2start-su
1|PrEP2START-SU|SU|1|3|15|Project coordinator assistant Ms.Kanha|20170228|29650.00|10175078|20170228|500.00|10175081|||เงินเดือน กพ 2560 ภาษี|20170301|Prep2start-su|20170301|Prep2start-su
1|PrEP2START-SU|SU|1|3|16|Project coordinator assistant Ms.Kanha|20170228|750.00|10175080||||||ปกส กพ 2560|20170301|Prep2start-su|20170301|Prep2start-su
1|PrEP2START-SU|SU|1|3|17|Project coordinator assistant Ms.Kanha|20170331|29650.00|10175090|20170331|500.00|10175093|||เงินเดือน มีค 2560 ภาษี มีค 2560|20170407|prep2start-su|20170407|prep2start-su
1|PrEP2START-SU|SU|1|3|18|Project coordinator assistant Ms.Kanha|20170331|750.00|10175092||||||ปกส มีค 2560|20170407|prep2start-su|20170407|prep2start-su
1|PrEP2START-SU|SU|1|3|19|Project coordinator assistant Ms.Kanha|20170428|29650.00|10175113|20170428|500.00|10175116|||เงินเดือน เมย 2560 ภาษี เมย 2560|20170504|prep2start-su|20170504|prep2start-su
1|PrEP2START-SU|SU|1|3|20|Project coordinator assistant Ms.Kanha|20170428|750.00|10175115||||||ปกส เมย 2560|20170504|prep2start-su|20170504|prep2start-su
1|PrEP2START-SU|SU|1|3|23|Project coordinator assistant Ms.Kanha|20170531|29650.00|10175128|20170531|500.00|10175131|||เงินเดือน พค 2560 ภาษี พค 2560|20170601|prep2start-su|20170601|prep2start-su
1|PrEP2START-SU|SU|1|3|24|Project coordinator assistant Ms.Kanha|20170531|750.00|10175130||||||ปกส พค 2560|20170601|prep2start-su|20170601|prep2start-su
1|PrEP2START-SU|SU|1|3|29|Project coordinator assistant Ms.Kanha|20170630|750.00|10213626||||||ปกส มิย 2560|20170705|Prep2start-su|20170705|Prep2start-su
1|PrEP2START-SU|SU|1|3|30|Project coordinator assistant Ms.Kanha|20170630|29650.00|10213624|20170630|500.00|10213627|||เงินเดือน มิย 2560 ภาษี มิย 2560|20170705|Prep2start-su|20170705|Prep2start-su
