CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|YMSM-Cascade|-|1|1|1|Social worker, SRR Ms. Sirijit Kanakool|20161130|83190.00|10171821|20161130|2250.00|10171823|||เงินเดือน ก.ย.-พ.ย.59 ประกันสังคม ก.ย.-พ.ย.59|20170206|ymsm-cascade|20170206|ymsm-cascade
1|YMSM-Cascade|-|1|1|2|Social worker, SRR Ms. Sirijit Kanakool|20161230|27730.00|10171831|20161230|750.00|10171833|||เงินเดือน ธ.ค.59|20170206|YMSM-Cascade|20170206|YMSM-Cascade
1|YMSM-Cascade|-|1|1|6|Social worker, SRR Ms. Sirijit Kanakool|20170228|27730.00|10179869|20170228|750.00|10179871||||20170301|ymsm-cascade|20170301|ymsm-cascade
1|YMSM-Cascade|-|1|1|7|Social worker, SRR Ms. Sirijit Kanakool|20170331|27730.00|10179878|20170331|750.00|10179880||||20170407|ymsm-cascade|20170407|ymsm-cascade
1|YMSM-Cascade|-|1|1|10|Social worker, SRR Ms. Sirijit Kanakool|20170531|27730.00|10179893|20170531|750.00|10179895||||20170602|ymsm-cascade|20170602|ymsm-cascade
1|YMSM-Cascade|-|1|1|11|Social worker, SRR Ms. Sirijit Kanakool|20170428|27730.00|10179883|20170428|750.00|10179885||||20170602|ymsm-cascade|20170602|ymsm-cascade
1|YMSM-Cascade|-|1|1|14|Social worker, SRR Ms. Sirijit Kanakool|20170630|27730.00|10179907|20170630|750.00|10179909||||20170711|ymsm-cascade|20170713|ymsm-cascade
1|YMSM-Cascade|-|1|1|15|Social worker, SRR Ms. Sirijit Kanakool|20170731|27730.00|10179919|20170731|750.00|10179921||||20170731|ymsm-cascade|20170731|ymsm-cascade
1|YMSM-Cascade|-|1|1|16|Social worker, SRR Ms. Sirijit Kanakool|20170831|27730.00|10179929|20170831|750.00|10179931||||20170901||20170901|
1|YMSM-Cascade|-|1|1|17|Social worker, SRR Ms. Sirijit Kanakool|20170131|27730.00|10171839|20170131|750.00|10179861||||20170206|YMSM-Cascade|20170919|ymsm-cascade
1|YMSM-Cascade|-|1|2|1|Compensation for hospital staff (Counselor) Ms. Yuitiang Durier ($2.06/hour x 49 hours/month) x 12 months see justification|20161130|10320.00|10171822||||||เงินเดือน ก.ย.-พ.ย. 59|20170206|ymsm-cascade|20170206|ymsm-cascade
1|YMSM-Cascade|-|1|2|2|Compensation for hospital staff (Counselor) Ms. Yuitiang Durier ($2.06/hour x 49 hours/month) x 12 months see justification|20161230|3440.00|10171832|||||||20170206|YMSM-Cascade|20170206|YMSM-Cascade
1|YMSM-Cascade|-|1|2|4|Compensation for hospital staff (Counselor) Ms. Yuitiang Durier , Ms.Suchada Charoenras, Ms.Ladda Pannapoch ($2.06/hour x 49 hours/month) x 12 months see justification|20170228|3440.00|10179870|||||||20170301|ymsm-cascade|20170301|ymsm-cascade
1|YMSM-Cascade|-|1|2|5|Compensation for hospital staff (Counselor) Ms. Yuitiang Durier ($2.06/hour x 49 hours/month) x 12 months see justification|20170131|3440.00|10171840|||||||20170206|YMSM-Cascade|20170302|ymsm-cascade
1|YMSM-Cascade|-|1|2|6|Compensation for hospital staff (Counselor) Ms. Yuitiang Durier , Ms.Suchada Charoenras, Ms.Ladda Pannapoch ($2.06/hour x 49 hours/month) x 12 months see justification|20170331|3440.00|10179879|||||||20170407|ymsm-cascade|20170407|ymsm-cascade
1|YMSM-Cascade|-|1|2|7|Compensation for hospital staff (Counselor) Ms. Yuitiang Durier , Ms.Suchada Charoenras, Ms.Ladda Pannapoch ($2.06/hour x 49 hours/month) x 12 months see justification|20170428|3440.00|10179884|||||||20170504||20170504|
1|YMSM-Cascade|-|1|2|8|Compensation for hospital staff (Counselor) Ms. Yuitiang Durier , Ms.Suchada Charoenras, Ms.Ladda Pannapoch ($2.06/hour x 49 hours/month) x 12 months see justification|20170531|3440.00|10179894|||||||20170602|ymsm-cascade|20170602|ymsm-cascade
